"species"	"species_name"	"abundance"	"IUCN.status"	"mass.g"	"home.range"	"density"	"extant"	"longevity"	"litter"	"loctype"	"diet.cat"	"shannon"	"simpson"
"Suricata suricatta"	"Suricata_suricatta"	0.000487	"LC"	662.8601502	NA	NA	1	20.6	NA	"sf"	NA	NA	NA
"Taxidea taxus"	"Taxidea_taxus"	0.001882	"LC"	7027.595972	8.4984	NA	1	25	4	"sf"	"2"	0.432832179	0.032870596
"Tremarctos floridanus"	"Tremarctos_floridanus"	0	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Tremarctos ornatus"	"Tremarctos_ornatus"	NA	"VU"	NA	NA	NA	1	NA	NA	"sc"	"1"	0.479402694	0.02597508
"Urocyon cinereoargenteus"	"Urocyon_cinereoargenteus"	0.020294	"LC"	4072.895414	1.028746475	NA	1	16.2	3.8	"a"	"1"	0.486309895	0.024550702
"Ursus americanus"	"Ursus_americanus"	0.02454	"LC"	114572.4693	58.79965858	NA	1	34	2.5	"sc"	"1"	0.795246574	0.006211361
"Ursus arctos"	"Ursus_arctos"	0.018934	"LC"	155513.7946	29.6965461	0.03034	1	40	2.5	"sc"	"1"	0.701405688	0.010014087
"Ursus deningeri"	"Ursus_deningeri"	NA	""	100429.6113	NA	NA	0	NA	NA	NA	NA	NA	NA
"Ursus maritimus"	"Ursus_maritimus"	NA	"VU"	100429.6113	NA	NA	1	43.8	1.9	"t"	NA	NA	NA
"Ursus spelaeus"	"Ursus_spelaeus"	0.099817	""	100429.6113	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Ursus thibetanus"	"Ursus_thibetanus"	0.012058	"VU"	62755.24396	47.31325165	0.07	1	NA	2	"t"	"1"	0.190343749	0.078022036
"Urva edwardsii"	"Herpestes_edwardsii"	0	""	NA	NA	NA	1	NA	NA	"t"	NA	NA	NA
"Viverra megaspila"	"Viverra_megaspila"	NA	"VU"	8600.474329	NA	NA	1	NA	NA	NA	NA	NA	NA
"Viverra zibetha"	"Viverra_zibetha"	0	"NT"	8600.474329	12	NA	1	NA	3	NA	NA	NA	NA
"Viverricula indica"	"Viverricula_indica"	NA	"LC"	3042.170278	2.652734438	NA	1	NA	NA	NA	NA	NA	NA
"Vormela peregusna"	"Vormela_peregusna"	0.004298	"VU"	355.9177444	NA	NA	1	8.9	6	NA	NA	NA	NA
"Vulpes chama"	"Vulpes_chama"	0.065851	"LC"	2738.889285	27.68	0.169	1	NA	4	"t"	"2"	0.577424077	0.021469458
"Vulpes corsac"	"Vulpes_corsac"	0.125253	"LC"	3564.036496	NA	NA	1	NA	5.5	"t"	NA	NA	NA
"Vulpes lagopus"	"Vulpes_lagopus"	0.004664	"LC"	3314.220013	NA	NA	1	16.3	6	"t"	NA	NA	NA
"Vulpes macrotis"	"Vulpes_macrotis"	NA	"LC"	1436.118992	NA	NA	1	NA	4.5	"t"	"3"	0.708947479	0.008907751
"Vulpes rueppellii"	"Vulpes_rueppellii"	NA	"LC"	3564.036496	NA	NA	1	14.3	3.3	"t"	NA	NA	NA
"Vulpes velox"	"Vulpes_velox"	0.027668	"LC"	2353.061344	NA	NA	1	15.9	4.5	"t"	NA	NA	NA
"Vulpes vulpes"	"Vulpes_vulpes"	0.057173	"LC"	5327.374282	2.218405492	1.63	1	21.3	6	"t"	"3"	0.705930199	0.007822033
"Vulpes zerda"	"Vulpes_zerda"	NA	"LC"	3564.036496	NA	NA	1	NA	3.5	NA	NA	NA	NA
