species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Viverra zibetha	carnivore			185	8	14	0.3571	7	11.08	30.39	24.3	3.6	106.5	91.9	20.5	29.5	1500.0	3334.0	0.059812	0.045381	0.059138	0.276499	0.781818	0.059484	0.006352	NT	8600.47432934556	3	species			7984.35971133565	2	51.9903837262238	817.271099021665				427.805076173763	1245.07617519543		invertivore	frugivore	genus	12		12		1.7		tropical/subtropical dry broadleaf forest
Viverricula indica	carnivore			1446	14	42	0.2381	14	21.10	91.75	27.9	-7.1	114.2	74.0	17.500	28.000	760.0	3497.0	0.170038	0.059358	0.068028	0.128788	0.294192	0.028728	0.014204	LC	3042.17027794304	2	species			3400	1		602.029899589713				397.919589867098	999.949489456811		invertivore	carnivore	species	2.65273443827308		2.65273443827308		0.553624421426656		temperate broadleaf/mixed forest,tropical/subtropical dry broadleaf forest
Vormela peregusna	carnivore			1	1			1			42.2	42.2	22.5	22.5					0.000649	0.000649	0.000649	0.000649	0.000649		0.000124	VU	355.917744387456	4	species	305.80222366752	2	414.24630354416	2	23.7379259904893	302.218992077939	39.6421001265707		31.9158664994782	177.253841238075	479.472833316013	12.9025924330051										
Vulpes bengalensis	carnivore			7	2	1	0.0000	2	6.28	5.99	25.5	19.5	74.4	74.0			760.0	760.0	0.013725	0.010267	0.019631	0.019631	0.036364	0.030303	0.005582	LC	2948	1	species						519.612355511298							carnivore	invertivore	genus							
Vulpes cana	carnivore			12	2			2	1.39	1.07	17.2	16.6	53.8	52.9	21.000	21.000	252.0	500.0	0.014815	0.027532	0.035855	0.035855	0.058824		0.003132	LC	1227.70968779938	21	species	1197.313843488	13	1278.75740360323	8	85.9645156561249	402.817006633177	95.1841752531545			323.87658164433	726.693588277507		invertivore	frugivore	species	1.35768081435085	1.30013657988328	1.41777196502067				desert/xeric shrubland
Vulpes chama	carnivore			24	3	1	0.0000	2	14.03	13.86	-20.5	-34.3	18.4	17.2	21.000	21.000	532.0	532.0	0.087912	0.050764	0.019231	0.213697	0.408163	0.387755	0.005916	LC	2738.88928544249	39	species	2500	11	2800	17	97.5628413006382	553.583113759888	128.678528516018	113.955621480526		343.917225605898	897.500339365786		carnivore	frugivore	species	27.68					0.169	tropical/subtropical savanna
Vulpes ferrilata	carnivore			58	3	1	0.0000	3	3.91	6.76	38.9	34.2	98.1	94.2	-4.000	3.500	203.0	285.0	0.044926	0.042455	0.090722	0.207523	0.324324	0.297297	0.005277	LC	4559.22897839004	19	species	3900	6	4900	13	65.6250432699102	640.841594597226				275.773585671447	916.615180268673		carnivore		species							
Vulpes macrotis	carnivore			170	1			1			34.9	34.9	-115.7	-115.7					0.521472	0.521472	0.521472	0.521472	0.521472		0.026709	LC	1436.11899158463	21	species	1390	12	1500	9									carnivore	invertivore	genus							
Vulpes vulpes	carnivore			3890	50	250	0.1880	49	56.02	388.90	63.8	-37.3	150.5	-146.6	-4.000	17.275	50.0	4800.0	0.144357	0.147555	0.243554	0.455081	0.937500	0.054782	0.015882	LC	5327.3742821642	343	species	4822.25514116159	127	5648.72284045998	216	77.4001670358148	491.930424118625	127.092344999043	103.554016606394	58.5749186349059	332.410117967569	824.340542086195		carnivore		species	2.21840549202816	1.05656279901667	3.86945806182188		1.06442096935376	1.63	temperate broadleaf/mixed forest,temperate savanna
Xenogale naso	carnivore			22	2	2	0.0000	2	2.83	3.80	0.8	-2.4	14.9	12.9			1800.0	1800.0	0.096491	0.140028	0.348039	0.348039	0.666667	0.019685	0.016224		2346.27770093231	8	species	2206.03891341515	5	2600.09861558894	3	34.6470097464972	518.816097847757	105.465478266362			390.899916023852	909.716013871609		carnivore	invertivore	species	0.33903982067008		0.33903982067008				tropical/subtropical dry broadleaf forest
