species	species_name	mass.g	home.range	extant	loctype	pc	litter	diet.cat	shannon	simpson	abundance	longevity	activity	soc.complexity	gr.size	ges.days	interbirth.days	weaning.days	eqm	BMRres	afrotropic	australasia	indomalaya	neotropic	nearctic	palearctic
Panthera tigris	Panthera_tigris	0.835154843	0.852344867	1	t	0	0.211538462	2	0.032262857	0.194430418	0.967955587	0.5	Noc	1	0	0.537155635	0.864994929	0.603300014	-0.05372272	0.134789397	0	0	1	0	0	1
Parahyaena brunnea	Parahyaena_brunnea	0.699147223	NA	1	t	NA	NA	NA	NA	NA	0.970387644	NA	Noc	6	0.48433827	0.51082975	0.661494311	0.928670285	0.15233198	0.026008538	1	0	0	0	0	0
Pekania pennanti	Martes_pennanti	0.423735922	NA	1	sc	NA	0.246153846	3	0.776818664	0.00485605	0.972795975	0.157142857	Cath/Cre	1	0	1	0.484449865	0.483609505	0.160940028	0.007654737	0	0	0	0	1	0
Potos flavus	Potos_flavus	0.338341629	0.212708279	1	a	NA	0.064102564	1	0.09711947	0.129369905	0.975181039	0.845714286	Noc	5	0.428043222	0.561749889	0.484437008	0.574535848	-0.021812646	-0.04872221	0	0	0	1	0	0
Prionailurus bengalensis	Prionailurus_bengalensis	0.410444418	0.502862399	1	sc	0	0.192307692	2	0.683843481	0.012866887	0.982201019	NA	Noc	1	0	0.364965156	0.113436807	0.060473027	-0.222136637	-0.042488363	0	0	1	0	0	1
Procyon cancrivorus	Procyon_cancrivorus	0.453053456	0.323326454	1	sc	NA	NA	4	0.704658488	0.01102478	0.984497344	NA	Noc	1	0	0.353275165	0.484437008	0.581563473	0.321386212	-0.233474541	0	0	0	1	0	0
Procyon lotor	Procyon_lotor	0.463377227	0.420482779	1	sc	NA	0.358974359	4	0.85515152	0.002313672	0.986772507	0.348571429	Cath/Cre	2	0	0.353275165	0.484437008	0.55834229	-0.08500838	0.030704069	0	0	0	1	1	1
Proteles cristata	Proteles_cristata	0.518514094	0.480661719	1	t	0.494406432	0.230769231	5	0.082650374	0.131004167	0.993474832	0.32	Noc	3	0.06889957	0.486689164	0.484437008	0.608910392	0.069389919	-0.016294297	1	0	0	0	0	0
Puma concolor	Puma_concolor	0.700755548	0.867702493	1	sc	0	0.230769231	2	0.008565331	0.28127455	1	0.428571429	Cath/Cre	1	0	0.502954738	0.700083526	0.608910392	-0.060479761	0.07412279	0	0	0	1	1	0
Smilodon fatalis	Smilodon_fatalis	0.864213974	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	0.108486544	0	0	0	0	1	0
Smilodon populator	Smilodon_populator	0.896428921	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.115874521	0	0	0	1	0	0
Spilogale gracilis	Spilogale_gracilis	0.217261838	NA	1	t	NA	0.358974359	NA	NA	NA	NA	NA	Noc	1	0	0.821021079	0.484437008	0.366714214	-0.265908565	-0.102828834	0	0	0	0	1	0
Spilogale putorius	Spilogale_putorius	0.228333956	0.366379487	1	t	NA	0.576923077	NA	NA	NA	NA	0.048571429	Noc	1	0	0.335025241	0.294151619	0.34075418	-0.325628068	-0.117951888	0	0	0	1	1	0
Suricata suricatta	Suricata_suricatta	0.233388274	NA	1	sf	0.924330139	NA	NA	NA	NA	NA	0.337142857	Diu	6	0.570743543	0.392685188	0.484437008	0.34075418	0.168521723	-0.116581038	1	0	0	0	0	0
Taxidea taxus	Taxidea_taxus	0.490170104	0.561495205	1	sf	0.836609457	0.384615385	2	0.432832179	0.032870596	NA	0.462857143	Noc	1	0	0.21730792	0.484437008	0.242717484	0.252505587	0.045100558	0	0	0	0	1	0
