"","species","species_name","extant","IUCN.status","mass.g","BMR","eq","abundance","density","home.range","loctype","diet.cat","shannon","simpson","activity","soc.complexity","gr.size","ges.days","interbirth.days","weaning.days","longevity","litter","Afrotropic","Indomalaya","Nearctic","Neotropic","Palearctic","Lat","georange"
"Neovison_vison","Neogale vison","Neovison_vison",1,"Least Concern",950.2266003,468.4017597,-0.277895696,0.000149522,NA,0.902269988,"sa",NA,NA,NA,"Noc",1,0,0.319105848,0.484437008,0.242800212,NA,5,0,0,1,0,0,39.5983395,NA
"Nyctereutes_procyonoides","Nyctereutes procyonoides","Nyctereutes_procyonoides",1,"Least Concern",4203.627705,2913.410003,-0.148320069,0.011567732,2.5775,2.745330891,"t",1,0.788711814,0.007135209,"Noc",2,2,63,365,49.69,16.6,6,0,0,0,0,1,38.681679,6704451.99
"Otocyon_megalotis","Otocyon megalotis","Otocyon_megalotis",1,"Least Concern",3249.352059,1673.48977,-0.036064791,0.009918218,0.857,4.73974872,"t",3,0,1,"Cath/Cre",3,4.3,67.5,182.5,42.46,17,3.5,1,0,0,0,0,-27.616676,5001822.67
"Paguma_larvata","Paguma larvata","Paguma_larvata",1,"Least Concern",4021.87934,NA,-0.171473554,NA,NA,2.744028248,"sr",6,NA,NA,"Noc",0,1,53.5,182.5,109.13,27.4,2,0,1,0,0,0,31.557089,5422715.54
"Panthera_atrox","Panthera atrox","Panthera_atrox",0,"Extinct",61616.89061,23312.27014,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,31.706398,NA
"Panthera_leo","Panthera leo","Panthera_leo",1,"Vulnerable",147353.6049,16273.03198,-0.040763059,0.003098797,0.006,669.2561157,"sc",2,0,1,"Noc",5,8.7,110,730,197.86,27,2.5,1,0,0,0,1,15.475278,11237685.34
"Panthera_onca","Panthera onca","Panthera_onca",1,"Near Threatened",65406.10817,10739.226,-0.101036593,0.005333996,0.029140247,89.50359505,"sc",2,0.101130164,0.125326118,"Cath/Cre",0,1,99,365,156.6,28,2,0,0,1,1,0,30.299999,10500825.25
"Panthera_pardus","Panthera pardus","Panthera_pardus",1,"Vulnerable",32655.3998,7926.242495,0.047875941,0.010527572,0.016792856,30.01405621,"sc",2,0.030920367,0.2052179,"Cath/Cre",0,1,96,476.37,123.54,27.3,2.6,1,1,0,0,1,-0.833343,29348601.36
"Panthera_spelaea","Panthera spelaea","Panthera_spelaea",0,"Extinct",61616.89061,23558.49697,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,50.739452,NA
"Panthera_tigris","Panthera tigris","Panthera_tigris",1,"Endangered",167650.47,23030.51799,-0.05372272,0.008629499,0.684992097,153.842924,"t",2,0.032262857,0.194430418,"Noc",0,1,103,821.25,118.55,26.3,2.65,0,1,0,0,1,23.605009,2494993.45
"Paradoxurus_hermaphroditus","Paradoxurus hermaphroditus","Paradoxurus_hermaphroditus",1,"Least Concern",2361.475443,727.9940001,-0.254113892,NA,NA,0.419042431,"a",6,NA,NA,"Noc",0,1,62,182.5,60,NA,NA,0,1,0,0,0,6.140278,7074837.93
"Parahyaena_brunnea","Parahyaena brunnea","Parahyaena_brunnea",1,"Near Threatened",48006.18604,6417.378235,0.15233198,0.031441048,0.24,NA,"t",NA,NA,NA,"Noc",5,4.8,96,532.29,302.44,NA,NA,1,0,0,0,0,-27.616676,1981470.71
"Pardofelis_marmorata","Pardofelis marmorata","Pardofelis_marmorata",1,"Vulnerable",3700,NA,0.332101887,NA,NA,5.9,"a",NA,NA,NA,"Noc",0,1,74,365,59,NA,2,0,1,0,0,0,20.472509,2298300.89
"Martes_pennanti","Pekania pennanti","Martes_pennanti",1,"Least Concern",3815.231188,1517.676967,0.160940028,0.003048643,0.124,NA,"sc",5,0.776818664,0.00485605,"Cath/Cre",0,1,355,365.01,84,14.3,3,0,0,1,0,0,38.717789,NA
"Potos_flavus","Potos flavus","Potos_flavus",1,"Least Concern",1739.89543,727.9940001,-0.021812646,0.000754907,NA,0.263666456,"a",6,0.09711947,0.129369905,"Noc",4,4,110,365,109.13,38.4,1.5,0,0,0,1,0,0.133343,12770952.51
"Prionailurus_bengalensis","Prionailurus bengalensis","Prionailurus_bengalensis",1,"Least Concern",3376.331132,1070.489316,-0.222136637,0.005647861,1.348894861,4.740099529,"sc",2,0.683843481,0.012866887,"Noc",0,1,65,165.56,24.85,NA,2.5,0,1,0,0,1,38.297508,10201747.8
